Source,Experiment,Dog,Trial,Type,Button,Time,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type
CSC_BeBe-Ivy_Trial7,CSC,BeBe-Ivy,7,Speak,Daxing,36.637,60,60,,Door-Directed Behaviors,,Looking at door,POINT
CSC_BeBe-Ivy_Trial7,CSC,BeBe-Ivy,7,Speak,Daxing,48.635,60,60,,Door-Directed Behaviors,,Looking at door,POINT
CSC_BeBe-Ivy_Trial7,CSC,BeBe-Ivy,7,Speak,Daxing,58.137,60,60,,Door-Directed Behaviors,,Sitting / Lying by Door,POINT
CSC_BeBe-Ivy_Trial8,CSC,BeBe-Ivy,8,Press,Outside,29.717,60,60,,Door-Directed Behaviors,,Looking at door,POINT
CSC_BeBe-Ivy_Trial8,CSC,BeBe-Ivy,8,Press,Outside,29.75,60,60,,Door-Directed Behaviors,,Moving Towards Door,POINT
CSC_Birdy_Trial1,CSC,Birdy,1,Press,Play,45.217,60,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Birdy_Trial1,CSC,Birdy,1,Press,Play,45.767,60,60,,Toy-Directed Behaviors,,Touching Toy,POINT
CSC_Birdy_Trial1,CSC,Birdy,1,Press,Play,48.95,60,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Birdy_Trial2,CSC,Birdy,2,Speak,Daxing,23.35,60,60,,Lip/Nose Licking,,,POINT
CSC_Birdy_Trial2,CSC,Birdy,2,Speak,Daxing,42.017,60,60,,Lip/Nose Licking,,,POINT
CSC_Birdy_Trial4,CSC,Birdy,4,Press,Food,13.384,60,60,,Lip/Nose Licking,,,POINT
CSC_Birdy_Trial4,CSC,Birdy,4,Press,Food,15.564,60,60,,Lip/Nose Licking,,,POINT
CSC_Birdy_Trial4,CSC,Birdy,4,Press,Food,29.083,60,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Birdy_Trial4,CSC,Birdy,4,Press,Food,29.45,60,60,,Toy-Directed Behaviors,,Moving Towards Toy,POINT
CSC_Birdy_Trial6,CSC,Birdy,6,Press,Daxing,9.55,60,60,,Head Tilting,,Right,POINT
