Source,Experiment,Dog,Trial,Type,Button,Time,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type
CSC_Dex_Trial6,CSC,Dex,6,Press,Food,57.917,60.003,60,,Toy-Directed Behaviors,,Touching Toy,POINT
CSC_Dex_Trial6,CSC,Dex,6,Press,Food,58.908,60.003,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Dex_Trial6,CSC,Dex,6,Press,Food,58.918,60.003,60,,Toy-Directed Behaviors,,Moving Towards Toy,POINT
CSC_Dex_Trial6,CSC,Dex,6,Press,Food,60.003,60.003,60,,Toy-Directed Behaviors,,Touching Toy,POINT
CSC_Dex_Trial7,CSC,Dex,7,Speak,Play,1.381,60.011,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Dex_Trial7,CSC,Dex,7,Speak,Play,1.636,60.011,60,,Toy-Directed Behaviors,,Touching Toy,POINT
CSC_Dex_Trial7,CSC,Dex,7,Speak,Play,3.638,60.011,60,,Toy-Directed Behaviors,,Picking up Toy,POINT
CSC_Dex_Trial7,CSC,Dex,7,Speak,Play,9.135,60.011,60,,Toy-Directed Behaviors,,Picking up Toy,POINT
CSC_Dex_Trial7,CSC,Dex,7,Speak,Play,16.267,60.011,60,,Toy-Directed Behaviors,,Picking up Toy,POINT
CSC_Dex_Trial7,CSC,Dex,7,Speak,Play,21.904,60.011,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Dex_Trial7,CSC,Dex,7,Speak,Play,22.402,60.011,60,,Toy-Directed Behaviors,,Touching Toy,POINT
CSC_Dex_Trial7,CSC,Dex,7,Speak,Play,23.156,60.011,60,,Toy-Directed Behaviors,,Picking up Toy,POINT
CSC_Dex_Trial7,CSC,Dex,7,Speak,Play,29.156,60.011,60,,Toy-Directed Behaviors,,Touching Toy,POINT
CSC_Dex_Trial7,CSC,Dex,7,Speak,Play,29.904,60.011,60,,Toy-Directed Behaviors,,Picking up Toy,POINT
CSC_Dex_Trial7,CSC,Dex,7,Speak,Play,30.906,60.011,60,,Toy-Directed Behaviors,,Touching Toy,POINT
CSC_Dex_Trial7,CSC,Dex,7,Speak,Play,32.405,60.011,60,,Toy-Directed Behaviors,,Picking up Toy,POINT
CSC_Dex_Trial7,CSC,Dex,7,Speak,Play,33.659,60.011,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Dex_Trial7,CSC,Dex,7,Speak,Play,34.154,60.011,60,,Toy-Directed Behaviors,,Touching Toy,POINT
CSC_Dex_Trial7,CSC,Dex,7,Speak,Play,36.904,60.011,60,,Toy-Directed Behaviors,,Picking up Toy,POINT
CSC_Dex_Trial7,CSC,Dex,7,Speak,Play,41.402,60.011,60,,Toy-Directed Behaviors,,Picking up Toy,POINT
CSC_Dex_Trial7,CSC,Dex,7,Speak,Play,44.152,60.011,60,,Toy-Directed Behaviors,,Touching Toy,POINT
CSC_Dex_Trial7,CSC,Dex,7,Speak,Play,44.283,60.011,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Dex_Trial7,CSC,Dex,7,Speak,Play,46.153,60.011,60,,Toy-Directed Behaviors,,Picking up Toy,POINT
CSC_Dex_Trial7,CSC,Dex,7,Speak,Play,49.129,60.011,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Dex_Trial7,CSC,Dex,7,Speak,Play,49.386,60.011,60,,Toy-Directed Behaviors,,Touching Toy,POINT
CSC_Dex_Trial7,CSC,Dex,7,Speak,Play,51.135,60.011,60,,Toy-Directed Behaviors,,Picking up Toy,POINT
CSC_Dex_Trial7,CSC,Dex,7,Speak,Play,53.136,60.011,60,,Toy-Directed Behaviors,,Touching Toy,POINT
