Source,Experiment,Dog,Trial,Type,Button,Time,Total Length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type
CSC_Dio_Trial1,CSC,Dio,1,Press,Daxing,55.385,60,60,,Lip/Nose Licking,,,POINT
CSC_Dio_Trial1,CSC,Dio,1,Press,Daxing,58.198,60,60,,Lip/Nose Licking,,,POINT
CSC_Dio_Trial2,CSC,Dio,2,Speak,Food,4.624,60,60,,Toy-Directed Behaviors,,Moving Towards Toy,POINT
CSC_Dio_Trial2,CSC,Dio,2,Speak,Food,4.635,60,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Dio_Trial2,CSC,Dio,2,Speak,Food,12.432,60,60,,Food-Directed Behaviors,,Looking at Bowl,POINT
CSC_Dio_Trial2,CSC,Dio,2,Speak,Food,12.552,60,60,,Food-Directed Behaviors,,Moving Towards Bowl,POINT
CSC_Dio_Trial2,CSC,Dio,2,Speak,Food,14.774,60,60,,Food-Directed Behaviors,,Touching Bowl,POINT
CSC_Dio_Trial2,CSC,Dio,2,Speak,Food,51.051,60,60,,Lip/Nose Licking,,,POINT
CSC_Dio_Trial5,CSC,Dio,5,Speak,Daxing,23.543,60,60,,Lip/Nose Licking,,,POINT
CSC_Dio_Trial5,CSC,Dio,5,Speak,Daxing,23.901,60,60,,Lip/Nose Licking,,,POINT
CSC_Dio_Trial5,CSC,Dio,5,Speak,Daxing,45.765,60,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Dio_Trial5,CSC,Dio,5,Speak,Daxing,45.884,60,60,,Toy-Directed Behaviors,,Moving Towards Toy,POINT
CSC_Dio_Trial5,CSC,Dio,5,Speak,Daxing,48.635,60,60,,Toy-Directed Behaviors,,Touching Toy,POINT
CSC_Dio_Trial6,CSC,Dio,6,Press,Outside,12.134,60,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Dio_Trial6,CSC,Dio,6,Press,Outside,12.384,60,60,,Toy-Directed Behaviors,,Moving Towards Toy,POINT
CSC_Dio_Trial6,CSC,Dio,6,Press,Outside,14.534,60,60,,Lip/Nose Licking,,,POINT
CSC_Dio_Trial6,CSC,Dio,6,Press,Outside,35.795,60,60,,Lip/Nose Licking,,,POINT
CSC_Dio_Trial6,CSC,Dio,6,Press,Outside,50.63,60,60,,Lip/Nose Licking,,,POINT
CSC_Dio_Trial6,CSC,Dio,6,Press,Outside,57.357,60,60,,Lip/Nose Licking,,,POINT
CSC_Dio_Trial8,CSC,Dio,8,Speak,Play,23.303,60,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Dio_Trial8,CSC,Dio,8,Speak,Play,23.363,60,60,,Toy-Directed Behaviors,,Moving Towards Toy,POINT
CSC_Dio_Trial8,CSC,Dio,8,Speak,Play,24.924,60,60,,Toy-Directed Behaviors,,Touching Toy,POINT
CSC_Ila_Trial1,CSC,Ila,1,Speak,Play,7.387,60,60,,Lip/Nose Licking,,,POINT
CSC_Ila_Trial1,CSC,Ila,1,Speak,Play,31.891,60,60,,Lip/Nose Licking,,,POINT
CSC_Ila_Trial1,CSC,Ila,1,Speak,Play,35.195,60,60,,Lip/Nose Licking,,,POINT
CSC_Ila_Trial1,CSC,Ila,1,Speak,Play,52.852,60,60,,Lip/Nose Licking,,,POINT
CSC_Ila_Trial3,CSC,Ila,3,Speak,Food,5.345,60,60,,Lip/Nose Licking,,,POINT
CSC_Ila_Trial3,CSC,Ila,3,Speak,Food,19.399,60,60,,Lip/Nose Licking,,,POINT
CSC_Ila_Trial3,CSC,Ila,3,Speak,Food,33.153,60,60,,Lip/Nose Licking,,,POINT
CSC_Ila_Trial3,CSC,Ila,3,Speak,Food,50.87,60,60,,Lip/Nose Licking,,,POINT
CSC_Ila_Trial4,CSC,Ila,4,Speak,Outside,7.867,60,60,,Lip/Nose Licking,,,POINT
CSC_Ila_Trial4,CSC,Ila,4,Speak,Outside,11.291,60,60,,Lip/Nose Licking,,,POINT
CSC_Ila_Trial4,CSC,Ila,4,Speak,Outside,15.495,60,60,,Lip/Nose Licking,,,POINT
CSC_Ila_Trial4,CSC,Ila,4,Speak,Outside,21.681,60,60,,Lip/Nose Licking,,,POINT
CSC_Ila_Trial4,CSC,Ila,4,Speak,Outside,30.51,60,60,,Lip/Nose Licking,,,POINT
CSC_Ila_Trial4,CSC,Ila,4,Speak,Outside,32.135,60,60,,Door-Directed Behaviors,,Looking at door,POINT
CSC_Ila_Trial4,CSC,Ila,4,Speak,Outside,32.312,60,60,,Door-Directed Behaviors,,Moving Towards Door,POINT
CSC_Ila_Trial4,CSC,Ila,4,Speak,Outside,49.429,60,60,,Lip/Nose Licking,,,POINT
CSC_Ila_Trial5,CSC,Ila,5,Press,Play,9.489,60,60,,Lip/Nose Licking,,,POINT
CSC_Ila_Trial5,CSC,Ila,5,Press,Play,9.669,60,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Ila_Trial5,CSC,Ila,5,Press,Play,10.03,60,60,,Toy-Directed Behaviors,,Moving Towards Toy,POINT
CSC_Ila_Trial5,CSC,Ila,5,Press,Play,18.018,60,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Ila_Trial5,CSC,Ila,5,Press,Play,24.324,60,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Ila_Trial5,CSC,Ila,5,Press,Play,28.048,60,60,,Lip/Nose Licking,,,POINT
CSC_Ila_Trial5,CSC,Ila,5,Press,Play,36.635,60,60,,Lip/Nose Licking,,,POINT
CSC_Ila_Trial5,CSC,Ila,5,Press,Play,46.885,60,60,,Lip/Nose Licking,,,POINT
CSC_Ila_Trial6,CSC,Ila,6,Speak,Daxing,1.381,60,60,,Door-Directed Behaviors,,Looking at door,POINT
CSC_Ila_Trial6,CSC,Ila,6,Speak,Daxing,1.741,60,60,,Door-Directed Behaviors,,Moving Towards Door,POINT
CSC_Ila_Trial6,CSC,Ila,6,Speak,Daxing,4.744,60,60,,Door-Directed Behaviors,,Looking at door,POINT
